Razão social,CNPJ,Classificação
A.M.C. TEXTIL LTDA.,75.364.570/0007-55,Consumidor Especial
AMCOR EMBALAGENS DA AMAZONIA LTDA,84.127.208/0001-66,Consumidor Especial
AMCOR FLEXIBLES BRASIL LTDA,05.818.423/0001-37,Consumidor Especial
AMCOR PACKAGING DO BRASIL LTD,43.235.795/0001-20,Consumidor Especial
AMENDOAS DO BRASIL LTDA,03.196.885/0001-34,Consumidor Especial
AMENDUPA PRODUTOS ALIMENTICIOS LTD,48.349.526/0001-08,Consumidor Especial
AMERICA MEDICAL LTDA,01.310.212/0001-38,Consumidor Especial
AMERICAN GLASS PRODUCTS DO BRASIL LTD,01.483.048/0001-60,Consumidor Especial
AMERICAN MEDICAL INDUSTRIA TEXTIL LTD,10.403.238/0001-11,Consumidor Especial
CONDOMINIO JARDIM DAS AMERICAS SHOPPING CENTE,02.597.043/0001-21,Consumidor Especial
AMERICAS COPACABANA HOTEL LTD,22.465.567/0001-76,Consumidor Especial
AMG BRASIL S.A.,11.224.676/0001-85,Consumidor Especial
A M G COMERCIO DE PLASTICOS EIREL,07.657.468/0001-00,Consumidor Especial
AMICO SAUDE LTDA,51.722.957/0001-82,Consumidor Especial
AMIDOS BANKHARDT LTDA,06.051.661/0001-22,Consumidor Especial
AMIFEC ALIMENTOS LTDA,05.693.158/0003-70,Consumidor Especial
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A,29.309.127/0001-79,Consumidor Especial
CORLEX INDUSTRIA E COMERCIO DE PRODUTOS PLASTICOS LTD,05.826.228/0001-59,Consumidor Especial
MINASA TRADING INTERNATIONAL LTD,47.496.286/0001-01,Consumidor Especial
AMPHENOL TFC DO BRASIL LTDA,44.603.447/0001-20,Consumidor Especial
AMSTERDAN-EMBALAGENS DE PLASTICOS LTD,57.216.665/0001-54,Consumidor Especial
AMT PRODUTOS ELETRICOS S.A.,09.622.942/0001-86,Consumidor Especial
AMVIAN INDUSTRIA E COMERCIO DE PECAS AUTOMOTIVAS LTDA,11.701.069/0001-69,Consumidor Especial
AN ADMINISTRACOES E PARTICIPACOES LTD,04.060.874/0001-95,Consumidor Especial
ANABE INDUSTRIA E COMERCIO DE PROTEINAS LTD,72.282.015/0001-09,Consumidor Especial
ANACONDA INDUSTRIAL E AGRICOLA DE CEREAIS S,60.728.029/0001-16,Consumidor Especial
ANANDA METAIS LTDA,04.215.721/0001-70,Consumidor Especial
ANCORA SIDERURGICA LTDA,27.317.546/0001-27,Consumidor Especial
ANDALUZ INDUSTRIA METALURGICA LTD,03.992.026/0001-51,Consumidor Especial
ANDORINHA SUPERMERCADO LTDA,44.480.747/0001-60,Consumidor Especial
ANDRADE INDUSTRIA E COMERCIO DE MARMORES E GRANITOS LTD,31.751.233/0001-50,Consumidor Especial
ANDREANI LOGISTICA LTDA.,04.887.927/0001-46,Consumidor Especial
ANDREAZZA MADEIRAS EIRELI,76.587.989/0001-43,Consumidor Especial
"ANDREETTA &amp, CIA LTDA",87.606.372/0001-44,Consumidor Especial
FRIGORIFICO ANGELELLI LTDA,44.802.528/0001-50,Consumidor Especial
SOCIEDADE HOSPITALAR ANGELINA CARO,07.088.017/0001-91,Consumidor Especial
"A. ANGELONI &amp, CIA. LTDA",83.646.984/0001-00,Consumidor Especial
ANGLO INDUSTRIA E COMERCIO DE METAIS LTDA,66.678.459/0001-57,Consumidor Especial
"ANGOLINI &amp, ANGOLINI LTDA",44.829.653/0001-53,Consumidor Especial
ANHAMBI ALIMENTOS LTDA,78.569.688/0001-12,Consumidor Especial
ANHANGUERA EDUCACIONAL PARTICIPACOES S/,04.310.392/0001-46,Consumidor Especial
ANHANGUERA.SC EMPREENDIMENTOS IMOBILIARIOS LTD,14.266.246/0001-14,Consumidor Especial
INDUSTRIAS ANHEMBI LTDA.,55.116.131/0001-20,Consumidor Especial
ANIGER - CALCADOS| SUPRIMENTOS E EMPREENDIMENTOS LTDA,94.316.999/0001-26,Consumidor Especial
SOCIEDADE CATALANA DE EDUCACAO LTD,05.373.130/0001-93,Consumidor Especial
BRASIL EDUCACAO S/A,05.648.257/0001-78,Consumidor Especial
IEDUC - INSTITUTO DE EDUCACAO E CULTURA S/,08.446.503/0001-05,Consumidor Especial
INSTITUTO DE EDUCACAO| CULTURA E ENSINO SUPERIOR S/,44.952.711/0001-31,Consumidor Especial
AMC - SERVICOS EDUCACIONAIS LTD,43.045.772/0001-52,Consumidor Especial
ANIMALL INDUSTRIA E COMERCIO DE RACOES EIREL,07.099.466/0001-35,Consumidor Especial
ANIN INDUSTRIA E COMERCIO DE PAPEL LTD,39.285.002/0001-00,Consumidor Especial
ANJO QUIMICA DO BRASIL LTDA,02.921.346/0001-58,Consumidor Especial
ANOAL TRATAMENTO DE SUPERFICIE DE ALUMINIO EIREL,27.770.822/0001-08,Consumidor Especial
ANOBRIL ANODIZACAO PINTURA E EXTRUSAO DE ALUMINIO LTD,54.890.397/0001-63,Consumidor Especial
ANOMAB ALUMINIO EIRELI,26.162.384/0001-32,Consumidor Especial
ANOVIS INDUSTRIAL FARMACEUTICA LTDA,19.426.695/0001-04,Consumidor Especial
ANSWER ALIMENTOS LTDA,18.412.859/0001-73,Consumidor Especial
CONDOMINIO DO EDIFICIO ANTARES FLAT SERVIC,66.059.536/0001-90,Consumidor Especial
REOBOTE RECUPERACAO DE UTENSILIOS PLASTICOS LTD,05.849.540/0001-68,Consumidor Especial
ANTEX LTDA,03.129.424/0001-49,Consumidor Especial
ANTIBIOTICOS DO BRASIL LTDA.,05.439.635/0001-03,Consumidor Especial
ANTILHAS GRAFICA E EMBALAGENS LTD,02.096.748/0001-65,Consumidor Especial
ANTONELLI SUPERMERCADO LTDA,07.732.866/0001-36,Consumidor Especial
"ANTONIO MORO &amp, CIA LTDA",80.237.555/0001-90,Consumidor Especial
ANTONIOLI PLASTICOS LTDA,59.329.854/0001-69,Consumidor Especial
AOI-YAMA INDUSTRIA DE COMPENSADOS LTD,04.416.098/0001-13,Consumidor Especial
A.P CHAPECO SERVICOS DE LOGISTICA LTD,22.735.063/0001-29,Consumidor Especial
A.P IRANI SERVICOS DE LOGISTICA LTD,22.755.746/0001-48,Consumidor Especial
A.P RIO SERVICOS DE LOGISTICA LTD,22.873.602/0001-96,Consumidor Especial
APA CONFECCOES LTDA,33.835.497/0003-89,Consumidor Especial
ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE S LUI,06.048.565/0001-25,Consumidor Especial
COMERCIO DE APARAS PRIMOS DE RIO CLARO LTDA,56.529.217/0001-48,Consumidor Especial
APARECIDA SHOPPING S.A,97.525.711/0001-11,Consumidor Especial
APASA INDUSTRIAL E AGROFLORESTAL LTD,03.477.155/0001-01,Consumidor Especial
ASSOCIACAO PARANAENSE DE CULTURA - AP,76.659.820/0001-51,Consumidor Especial
APEC - SOCIEDADE POTIGUAR DE EDUCACAO E CULTURA LTD,08.480.071/0001-40,Consumidor Especial
APERAM INOX SERVICOS BRASIL LTDA,60.500.121/0013-68,Consumidor Especial
APERAM INOX TUBOS BRASIL LTDA.,04.335.855/0001-24,Consumidor Especial
APEX TOOL GROUP INDUSTRIA E COMERCIO DE FERRAMENTAS LTDA,43.408.590/0001-07,Consumidor Especial
APIS DELTA LTDA,01.940.049/0001-97,Consumidor Especial
APMT SERVICOS RETROPORTUARIOS LTD,08.023.230/0001-88,Consumidor Especial
APP RECICLAGEM DE PLASTICOS LTD,05.906.993/0001-89,Consumidor Especial
ASSOCIACAO DOS PREGOEIROS DE PESCADOS E AFINS EST DO R,29.420.627/0001-83,Consumidor Especial
APTAR DO BRASIL EMBALAGENS LTDA,06.148.069/0001-43,Consumidor Especial
APUCARANA LEATHER S/A,09.271.307/0001-00,Consumidor Especial
AQUALAV SERVICOS DE HIGIENIZACAO LTD,05.654.916/0001-89,Consumidor Especial
KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTD,84.978.485/0001-82,Consumidor Especial
AQUA RIO AQUARIO MARINHO DO RIO DE JANEIRO S,19.624.745/0001-50,Consumidor Especial
"A. &amp, R. NUTRICAO ANIMAL LTDA",07.582.432/0001-05,Consumidor Especial
ARA TEXTIL LTDA,40.838.658/0001-91,Consumidor Especial
ARAFORROS IND E COMERCIO DE PERFILADOS LTD,00.321.975/0001-11,Consumidor Especial
FUNDICAO ARAGUAIA LTDA,19.931.971/0001-83,Consumidor Especial
ARAGUAIA INDUSTRIA DE OLEOS E PROTEINAS S.A,24.221.207/0001-54,Consumidor Especial
MAIA E BORBA S/A,01.850.114/0001-93,Consumidor Especial
ARAMART INDUSTRIA DE ARAMADOS LTD,13.416.922/0003-98,Consumidor Especial
ARAMEPAR INDUSTRIA E COMERCIO DE ARAMES EIREL,03.169.698/0001-61,Consumidor Especial
ARAMES TOP INDUSTRIAL LTDA,06.863.668/0001-49,Consumidor Especial
ARAPLAC INDUSTRIA E COMERCIO DE MOVEIS LTD,77.215.606/0001-79,Consumidor Especial
ARARA AZUL REDE DE POSTOS LTD,04.145.589/0001-77,Consumidor Especial
ARAUCARIA INDUSTRIA DE RECICLAGEM LTDA,00.824.982/0001-36,Consumidor Especial
ARAUCARIA INDUSTRIA E COMERCIO DE PAPEIS LTD,03.505.376/0001-46,Consumidor Especial
INDUSTRIAL ARBHORES COMPENSADOS - EIREL,10.887.398/0001-83,Consumidor Especial
ARBOR BRASIL INDUSTRIA DE BEBIDAS LTD,29.588.019/0001-82,Consumidor Especial
ARCA FERRAMENTARIA E INJECAO LTD,30.417.023/0001-67,Consumidor Especial
SUPERMERCADOS ARCHER SA,79.257.291/0001-58,Consumidor Especial
REFRIGERANTES ARCO IRIS LTDA,72.077.514/0001-56,Consumidor Especial
ARCOM S/A,25.769.266/0001-24,Consumidor Especial
SUPERMERCADO DA FAMILIA LTDA,05.677.591/0027-99,Consumidor Especial
ARCONVERT-RITRAMA DO BRASIL LTD,34.661.762/0001-50,Consumidor Especial
ARCOR DO BRASIL LTDA.,54.360.656/0001-44,Consumidor Especial
ARCUS INDUSTRIA GRAFICA LTDA,80.939.234/0001-38,Consumidor Especial
ARDOSIA NACIONAL IMPORTACAO E EXPORTACAO LTD,01.590.113/0001-57,Consumidor Especial
CBES - CENTRO BAIANO DE ENSINO SUPERIOR LTD,02.250.176/0001-27,Consumidor Especial
JDVB ADMINISTRACAO E HOTELARIA LTD,07.037.213/0001-37,Consumidor Especial
ARENA IPANEMA HOTEL LTDA,15.576.251/0001-96,Consumidor Especial
ARENA LEME HOTEL LTDA,14.949.199/0001-03,Consumidor Especial
ARENA DAS DUNAS CONCESSAO E EVENTOS S/,13.475.478/0001-10,Consumidor Especial
ARESE PHARMA LTDA.,07.670.111/0001-54,Consumidor Especial
AREZZO INDUSTRIA E COMERCIO S.A,16.590.234/0001-76,Consumidor Especial
ARFRIO S/A ARMAZENS GERAIS FRIGORIFICO,61.024.295/0001-20,Consumidor Especial
ELIT INDUSTRIA DE TINTAS E REVESTIMENTOS LTD,22.038.548/0001-63,Consumidor Especial
ARGEPASI ALIMENTOS INDUSTRIA E COMERCIO LTD,05.096.536/0001-76,Consumidor Especial
ARGETAX ADMINISTRACAO E PARTICIPACOES EM EMPREENDIMENTOS COMERCIAIS LTD,04.383.988/0001-76,Consumidor Especial
CERAMICA ARGIBEM LTDA,31.142.292/0001-20,Consumidor Especial
ARGIPET PRODUTOS PARA ANIMAIS EIREL,25.449.728/0001-26,Consumidor Especial
FRIGORIFICO ARGUS LTDA,81.304.552/0001-95,Consumidor Especial
FAST ARIAM EQUIPAMENTOS LTDA,10.931.741/0001-40,Consumidor Especial
ARIM COMPONENTES S/A,58.581.406/0001-95,Consumidor Especial
ARKEMA QUIMICA LTDA.,45.259.983/0003-85,Consumidor Especial
ARKEMA COATEX BRASIL INDUSTRIA E COMERCIO LTDA,16.516.586/0002-62,Consumidor Especial
ARLINGTON THERMAL MANAGEMENT - PECAS AUTOMOTIVAS TERMOFIXAS LTDA,46.242.558/0001-84,Consumidor Especial
ARMACELL BRASIL LTDA,04.425.862/0005-40,Consumidor Especial
IDILIA ARMANI COLOMBO INDUSTRIA TEXTIL LTD,04.646.330/0001-00,Consumidor Especial
ARMATREL - ARMACOES TRELICADAS LTDA,11.495.291/0001-52,Consumidor Especial
ARMAZEM DO GRAO LTDA,09.336.989/0001-83,Consumidor Especial
ARMAZEM MATEUS S.A.,23.439.441/0013-23,Consumidor Especial
ARMAZENS GERAIS MORRO DA PEDRA LTD,07.871.069/0001-30,Consumidor Especial
DNA BRASIL COMERCIO DE ALIMENTOS LTD,05.926.986/0001-49,Consumidor Especial
CONDOMINIO ARMAZENNA 01,24.197.208/0001-00,Consumidor Especial
CONDOMINIO ARMAZENNA SUAPE,24.188.387/0001-10,Consumidor Especial
HIDROMINERAL TERMAL DE ARMAZEM LTD,05.908.557/0001-49,Consumidor Especial
ARO EXPORTACAO| IMPORTACAO| INDUSTRIA E COMERCIO LTD,61.075.552/0001-53,Consumidor Especial
AROTUBI INDUSTRIA DE COMPONENTES LTDA,02.223.370/0001-13,Consumidor Especial
ARPLAST RECICLAVEIS PLASTICOS E PAPEIS EIREL,08.143.344/0001-61,Consumidor Especial
ARQUA INDUSTRIA BRASILEIRA DE MANGUEIRAS E TERMOPLASTICOS LTD,08.133.315/0001-19,Consumidor Especial
ARROBA ALIMENTOS LTDA,26.657.341/0001-28,Consumidor Especial
INDUSTRIA E COMERCIO DE CEREAIS BOM DE GOSTO LTD,08.089.064/0001-12,Consumidor Especial
COMERCIAL KUMBUCA DE CEREAIS LTD,00.064.494/0001-78,Consumidor Especial
"CURIONI &amp, BIOLLO LTDA",72.094.758/0001-47,Consumidor Especial
COOPERATIVA ARROZEIRA PALMARES LTD,91.877.506/0001-39,Consumidor Especial
VASCONCELOS INDUSTRIA| COMERCIO| IMPORTACAO E EXPORTACAO LTDA,03.647.755/0001-70,Consumidor Especial
ARROZEIRA BOM JESUS LTDA,04.882.507/0001-77,Consumidor Especial
COOPERATIVA ARROZEIRA EXTREMO SUL LTD,92.195.692/0001-99,Consumidor Especial
ARROZEIRA SEPEENSE S A,97.223.382/0001-54,Consumidor Especial
ARROZEIRA PELOTAS INDUSTRIA E COMERCIO DE CEREAIS LTD,97.371.843/0001-36,Consumidor Especial
ARTCROM ARTES GRAFICAS EIRELI,01.019.449/0001-64,Consumidor Especial
ART LASER GRAFICA E EDITORA LTDA,67.111.245/0001-67,Consumidor Especial
ART SUL MARMORES E GRANITOS LTD,39.378.237/0001-46,Consumidor Especial
ARTABAS ARTEFATOS DE ARAME BASTOS LTD,44.574.374/0001-96,Consumidor Especial
ARTE TRIGO INDUSTRIAL LTDA,16.366.878/0001-85,Consumidor Especial
ARTEC PISOS E REVESTIMENTOS LTDA - EM RECUPERACAO JUDICIA,03.548.440/0001-76,Consumidor Especial
ARTECOLA QUIMICA S.A. EM RECUPERACAO JUDICIA,44.699.346/0001-03,Consumidor Especial
ARTECOLA QUIMICA S.A. EM RECUPERACAO JUDICIA,44.699.346/0009-52,Consumidor Especial
ARTELY MOVEIS LTDA,01.419.940/0001-82,Consumidor Especial
ARTEMPER INDUSTRIA E COMERCIO DE VIDROS LTD,03.956.636/0001-08,Consumidor Especial
ARTEPINUS INDUSTRIA E COMERCIO DE MADEIRAS LTD,76.848.506/0001-17,Consumidor Especial
ARTHI COMERCIAL LTDA,58.508.748/0001-80,Consumidor Especial
ARVAL BENEFICIAMENTOS TEXTEIS S/,17.713.089/0001-36,Consumidor Especial
ARVEDI METALFER DO BRASIL S.A,13.091.683/0001-81,Consumidor Especial
ARYZTA DO BRASIL ALIMENTOS LTD,57.016.578/0001-53,Consumidor Especial
ASA INDUSTRIA E COMERCIO LTDA,01.551.272/0001-42,Consumidor Especial
ASA ALUMINIO S/A,68.205.509/0001-04,Consumidor Especial
ASA BRANCA INDL. COML. E IMPORTADORA LTD,03.636.036/0001-54,Consumidor Especial
ASB BEBIDAS E ALIMENTOS LTDA,09.285.874/0001-07,Consumidor Especial
ASSOCIATED SPRING DO BRASIL LTD,48.610.521/0001-97,Consumidor Especial
ASCENTY DATA CENTERS E TELECOMUNICACOES S/,13.743.550/0001-42,Consumidor Especial
A. SCHULMAN PLASTICOS DO BRASIL LTDA,02.376.055/0008-00,Consumidor Especial
ASSOCIACAO DE SAUDE| ESPORTE| LAZER E CULTURA - ASEL,09.055.340/0001-94,Consumidor Especial
ASK PRODUTOS QUIMICOS DO BRASIL LTD,43.110.170/0001-31,Consumidor Especial
ASK TRADING IMPORTACAO E EXPORTACAO LTD,08.335.198/0002-57,Consumidor Especial
ASSOCIACAO LIMEIRENSE DE EDUCACAO E CULTUR,56.985.377/0001-00,Consumidor Especial
ASSOCIACAO SALGADO DE OLIVEIRA DE EDUCACAO E CULTUR,28.638.393/0001-82,Consumidor Especial
ASPEC SOCIEDADE PARAIBANA DE EDUCACAO E CULTURA LTD,05.247.100/0001-30,Consumidor Especial
ASPERBRAS TUBOS E CONEXOES LTD,02.271.201/0001-59,Consumidor Especial
ASPERBRAS ALIMENTOS LACTEOS S.,12.361.072/0001-43,Consumidor Especial
ASSA ABLOY BRASIL INDUSTRIA E COMERCIO LTD,02.214.604/0003-28,Consumidor Especial
ASSEMBLEIA PARAENSE,04.973.426/0001-82,Consumidor Especial
ASSET ATIVIDADES HOTELEIRAS LTD,12.910.328/0001-24,Consumidor Especial
ASSOCIACAO MANTENEDORA DO FLEX VIRACOR,26.524.263/0001-93,Consumidor Especial
ASSOCIACAO MANTENEDORA DO BRESCO ITUPEVA PARQUE CORPORATIV,24.221.448/0001-01,Consumidor Especial
ASSOCIACAO DISTRIBUTION CENTER CABREUV,29.266.359/0001-97,Consumidor Especial
ASSOCIACAO DISTRIBUTION CENTER GUARULHO,26.247.937/0001-50,Consumidor Especial
ASSOCIACAO ADVENTISTA NORTE BRASILEIRA DE PREVENCAO E ASSISTENCIA A SAUD,83.367.342/0001-71,Consumidor Especial
ASSOCIACAO ESPORTIVA SAO JOSE,60.211.893/0001-46,Consumidor Especial
ASTECA INDUSTRIA E COMERCIO DE ARTEFATOS DE BORRACHAS EIREL,22.726.232/0001-64,Consumidor Especial
ASTORIA PAPEIS LTDA,90.792.797/0001-08,Consumidor Especial
ASTRA S A INDUSTRIA E COMERCIO,50.949.528/0016-66,Consumidor Especial
ASTRA S A INDUSTRIA E COMERCIO,50.949.528/0018-28,Consumidor Especial
ASTRA S A INDUSTRIA E COMERCIO,50.949.528/0001-80,Consumidor Especial
ASTRA S A INDUSTRIA E COMERCIO,50.949.528/0012-32,Consumidor Especial
ASTRAZENECA DO BRASIL LTDA.,60.318.797/0001-00,Consumidor Especial
ASTRO AGROCOMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS LTD,41.583.683/0002-15,Consumidor Especial
ASUN COMERCIO DE GENEROS ALIMENTICIOS LTD,92.091.891/0001-57,Consumidor Especial
ASVOTEC TERMOINDUSTRIAL LTDA,56.995.681/0002-00,Consumidor Especial
ASSOCIACAO SAO VICENTE DE PAUL,33.570.052/0001-52,Consumidor Especial
ATACADAO S.A.,75.315.333/0001-09,Consumidor Especial
ATACADAO DIA A DIA LTDA,17.457.404/0001-01,Consumidor Especial
ACL SANTOS COMERCIO DE GENEROS ALIMENTICIOS LTD,08.856.321/0001-02,Consumidor Especial
I S CAMPOS ATACADISTA E DISTRIBUIDORA LTD,09.634.089/0001-12,Consumidor Especial
ATACADO E AUTO SERVICO ESPERANCA LTDA,05.264.937/0001-98,Consumidor Especial
REAL PAULISTA COMERCIAL DE ALIMENTOS LTDA,16.881.766/0001-62,Consumidor Especial
TREICHEL MACROMERCADO LTDA,03.204.565/0001-89,Consumidor Especial
CDL CENTRO DE DISTRIBUICAO E LOGISTICA LTD,03.488.542/0001-43,Consumidor Especial
ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.,73.849.952/0001-58,Consumidor Especial
AGRO PASTORIL ATALAIA LTDA,90.797.390/0001-65,Consumidor Especial
ABATEDOURO PRADENSE LTDA,70.986.302/0001-66,Consumidor Especial
ATC - ASSOCIATED TOBACCO COMPANY BRASIL EXPORTACAO E IMPORTACAO DE TABACO LTD,00.350.387/0001-06,Consumidor Especial
ATCO PLASTICOS LTDA,00.385.650/0001-00,Consumidor Especial
ATENTO BRASIL S/A,02.879.250/0001-79,Consumidor Especial
CLUB ATHLETICO PARANAENSE,76.710.649/0001-68,Consumidor Especial
ATHLETIX EMPREENDIMENTOS ESPORTIVOS LTD,67.849.323/0001-25,Consumidor Especial
INDUSTRIA DE AGUAS ATIBAIENSE EIREL,07.388.649/0001-70,Consumidor Especial
METALURGICA ATICA LTDA,43.078.773/0001-01,Consumidor Especial
ATI GEL FRUTAS CONGELADAS ATIBAIA EIREL,57.607.673/0001-21,Consumidor Especial
ATIVAS DATA CENTER S.A.,10.587.932/0001-36,Consumidor Especial
ATLANTICA INDUSTRIA E COMERCIO DE AGUAS MINERAIS LTD,13.708.133/0001-69,Consumidor Especial
CONDOMINIO RESIDENCIAL E COMERCIAL EDIFICIO ATLANTICO SHOPPING CENTE,76.709.435/0001-71,Consumidor Especial
ATLANTIS RJ EMPREENDIMENTOS IMOBILIARIOS LTD,12.605.755/0001-07,Consumidor Especial
ATLAS S.A.,89.723.837/0001-72,Consumidor Especial
ATLAS COPCO BRASIL LTDA,57.029.431/0001-06,Consumidor Especial
ATLAS INDUSTRIA DE ELETRODOMESTICOS LTDA,78.242.849/0001-69,Consumidor Especial
ELEVADORES ATLAS SCHINDLER LTDA,00.028.986/0147-53,Consumidor Especial
ATLAS DE IGUACU DISTRIBUIDORA DE ALIMENTOS LTD,29.310.554/0001-77,Consumidor Especial
ATMOSFERA GESTAO E HIGIENIZACAO DE TEXTEIS S.A,00.886.257/0001-92,Consumidor Especial
ATMOSFERA GESTAO E HIGIENIZACAO DE UNIFORMES LTD,29.736.089/0001-30,Consumidor Especial
ATOLINI VIDROS LTDA,00.358.369/0001-70,Consumidor Especial
A.T.P. INDUSTRIA E COMERCIO DE PLASTICOS LTDA,04.995.392/0003-99,Consumidor Especial
ATRI COMERCIAL LTDA,46.101.424/0001-43,Consumidor Especial
ATRIO HOTEIS S.A.,80.732.928/0001-08,Consumidor Especial
ASSOCIACAO ATRIUM SHOPPING SANTO ANDR,18.605.172/0001-54,Consumidor Especial
LAR PLASTICOS INDUSTRIA E COMERCIO DE PRODUTOS EIREL,63.967.640/0001-95,Consumidor Especial
IPATINGA- COMERCIO E INDUSTRIA DE TECIDOS LTDA,00.093.037/0001-01,Consumidor Especial
ASSOCIACAO TORRE DE VIGIA DE BIBLIAS E TRATADO,33.755.687/0001-24,Consumidor Especial
AUNDE BRASIL S.A.,48.131.296/0001-06,Consumidor Especial
AURORA INDUSTRIA E COMERCIO DE PRODUTOS FUNDIDOS - EIREL,13.693.873/0001-79,Consumidor Especial
CONDOMINIO AURORA SHOPPING,23.561.579/0001-67,Consumidor Especial
AURORA TERMINAIS E SERVICOS LTD,01.777.936/0001-96,Consumidor Especial
AUSTEN PROCESSOS METALURGICOS LTD,19.991.918/0001-78,Consumidor Especial
AUTO ADESIVOS PARANA S.A,03.514.129/0001-06,Consumidor Especial
AUTO FORJAS LTDA,25.308.198/0003-68,Consumidor Especial
INDUSTRIA E COMERCIO DE AUTO PECAS REI LTD,45.967.890/0001-43,Consumidor Especial
AUTO RECICLAGEM EIRELI,18.854.768/0001-98,Consumidor Especial
AUTO SERVICO FAE LTDA,39.339.551/0001-10,Consumidor Especial
CONDOMINIO ORDINARIO DO AUTO SHOPPING SAO PAULO LEST,02.465.869/0001-37,Consumidor Especial
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/,02.451.848/0001-62,Consumidor Especial
AUTOCAM DO BRASIL USINAGEM LTDA,00.025.160/0006-08,Consumidor Especial
AUTOCAM DO BRASIL USINAGEM LTDA,00.025.160/0007-80,Consumidor Especial
AUTOCAM DO BRASIL USINAGEM LTDA,00.025.160/0003-57,Consumidor Especial
AUTOCOM COMPONENTES AUTOMOTIVOS DO BRASIL LTD,02.582.890/0001-12,Consumidor Especial
AUTOMETAL S/A,59.104.513/0002-76,Consumidor Especial
AUTOLIV DO BRASIL LTDA,01.340.384/0001-54,Consumidor Especial
AUTOMETAL S/A,59.104.513/0001-95,Consumidor Especial
AUTOMETAL S/A,59.104.513/0007-80,Consumidor Especial
AUTOMETAL MINAS CROMACAO| PINTURA E INJECAO DE PLASTICOS LTD,02.232.278/0001-10,Consumidor Especial
AUTOMETAL SBC INJECAO E PINTURA DE PLASTICOS LTD,03.985.506/0001-95,Consumidor Especial
AUTOMETAL S/A,59.104.513/0005-19,Consumidor Especial
AUTONEUM BRASIL TEXTEIS ACUSTICOS LTD,01.935.393/0001-98,Consumidor Especial
AUTOTRAVI BORRACHAS E PLASTICOS EIREL,88.614.078/0001-47,Consumidor Especial
INDUSTRIA DE METAIS AVAL EIRELI,08.713.616/0001-11,Consumidor Especial
AVANPLAS POLIMEROS DA AMAZONIA LTD,23.026.776/0001-86,Consumidor Especial
AVANTE  ATACADISTA LTDA,24.118.660/0001-30,Consumidor Especial
AVENIDA TENIS CLUBE,95.609.384/0001-50,Consumidor Especial
AVERY DENNISON DO BRASIL LTDA,43.999.630/0001-24,Consumidor Especial
AVIAGEN AMERICA LATINA LTDA,61.917.233/0001-48,Consumidor Especial
AVIARIO SANTO ANTONIO LTDA,17.425.646/0001-13,Consumidor Especial
GRANJA FARIA S.A.,81.616.807/0001-55,Consumidor Especial
AVIGRAN INDUSTRIA E COMERCIO DE ALIMENTOS LTD,07.403.922/0001-99,Consumidor Especial
AVIGRO AVICOLA AGROINDUSTRIAL LTD,16.127.441/0001-99,Consumidor Especial
AVIMAQ FERRAGENS LTDA.,21.844.612/0001-30,Consumidor Especial
AVON INDUSTRIAL LTDA,00.680.516/0001-24,Consumidor Especial
AVON COSMETICOS LTDA.,56.991.441/0008-23,Consumidor Especial
A.W. FABER CASTELL S.A.,59.596.908/0013-96,Consumidor Especial
AXALTA COATING SYSTEMS BRASIL LTDA,15.373.395/0001-45,Consumidor Especial
CENTRO DE IMAGEM DIAGNOSTICOS S/A,42.771.949/0018-83,Consumidor Especial
AZ ARMATUREN DO BRASIL LTDA,03.674.465/0001-16,Consumidor Especial
AZEPLAST INDUSTRIA E COMERCIO LTD,83.062.174/0001-06,Consumidor Especial
A AZEVEDO INDUSTRIA E COMERCIO DE OLEOS LTD,61.278.875/0001-44,Consumidor Especial
AZIMUT DO BRASIL FABRICACAO DE IATES LTD,11.568.948/0001-64,Consumidor Especial
SAO JOAO IND. E COM. DE POLPAS LTD,18.129.014/0001-75,Consumidor Especial
B.O. PACKAGING BRASIL LTDA,13.896.054/0001-29,Consumidor Especial
B.S. ENERGIA RENOVAVEL LTDA,02.994.298/0001-28,Consumidor Especial
CONDOMINIO EDIFICIOS BIRMANN 11 E 1,02.533.395/0001-13,Consumidor Especial
B2W  COMPANHIA DIGITAL,00.776.574/0006-60,Consumidor Especial
HARYON INDUSTRIA E COMERCIO DE FRALDAS E COMESTICOS LTDA - EM RECUPERACAO JUDICIA,08.405.510/0001-50,Consumidor Especial
BACIC INDUSTRIAL DE PLASTICOS EIREL,07.365.641/0001-99,Consumidor Especial
BADOTTI ALIMENTOS S.A.,83.853.655/0001-30,Consumidor Especial
"CERAMICA BAGATTA &amp, FILHO LTD",64.813.371/0001-75,Consumidor Especial
"JUSCELINO BAGGIO &amp, FILHOS LTD",05.640.377/0001-29,Consumidor Especial
BAGLEY DO BRASIL ALIMENTOS LTD,06.042.467/0001-80,Consumidor Especial
SUPERMERCADO BAHAMAS S/A,17.745.613/0001-50,Consumidor Especial
BAHIA INDUSTRIA DE SUBPRODUTOS ANIMAIS LTD,23.953.373/0001-82,Consumidor Especial
